iso_a3,region_id,country,income_id,gdp,population,total_waste,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,country_name,continent
CHN,East_Asia_Pacific,China,UMC,16092.30078125,1400050048,395081376,61.2,2.1,1.1,13.1,9.6,9.8,1.3,1.8,NA,China,Asia
USA,North_America,United States,HIC,61498.37109375,326687488,265224528,14.9,4.4,9,3.2,26.6,12.9,9.5,6.2,13.3,United States,North America
IND,South_Asia,India,LMC,6496.8076171875,1352617344,189750000,NA,NA,NA,NA,NA,NA,NA,NA,NA,India,Asia
BRA,Latin_America,Brazil,UMC,14596.24609375,208494896,79069584,51.4,2.4,2.9,16.7,13.1,13.5,NA,NA,NA,Brazil,South America
IDN,East_Asia_Pacific,Indonesia,LMC,10531.1982421875,261115456,65200000,53.8,2.5,1.8,12.9,14.9,14,NA,NA,NA,Indonesia,Asia
RUS,Europe_Central_Asia,Russian Federation,UMC,26012.849609375,143201680,60000000,28.41,16.82,1.83,19.03,19.7,14.21,NA,NA,NA,Russian Federation,Europe
MEX,Latin_America,Mexico,UMC,19332.07421875,125890952,53100000,52.4,5.9,3.4,12.1,13.8,10.9,NA,NA,NA,Mexico,North America
DEU,Europe_Central_Asia,Germany,HIC,53784.78125,83132800,50627876,30,10,1.4,17.7,24,13,4,NA,NA,Germany,Europe
JPN,East_Asia_Pacific,Japan,HIC,41309.95703125,126529104,42720000,36,5,4,6,33,11,1,4,NA,Japan,Asia
FRA,Europe_Central_Asia,France,HIC,46110.18359375,67059888,36748820,32,10,3,26,20,9,NA,NA,NA,France,Europe
TUR,Europe_Central_Asia,Turkey,UMC,28289.087890625,83429616,35374156,64,2,1,24,6,3,NA,NA,NA,Turkey,Asia
GBR,Europe_Central_Asia,United Kingdom,HIC,46290.12109375,66460344,30771140,16.7,2.2,3.5,28.2,18.9,20.2,NA,7.6,2.7,United Kingdom,Europe
PAK,South_Asia,Pakistan,LMC,4571.41455078125,193203472,30760000,30,6,4,20,13,9,2,2,14,Pakistan,Asia
ITA,Europe_Central_Asia,Italy,HIC,42419.72265625,60297396,30088400,34.4,7.6,4.3,15.4,22.8,11.6,NA,3.8,NA,Italy,Europe
NGA,Sub-Saharan_Africa,Nigeria,LMC,4690.37939453125,154402176,27614830.07185,NA,3.1,NA,11.3,8,4.8,NA,NA,NA,Nigeria,Africa
THA,East_Asia_Pacific,Thailand,UMC,16301.5380859375,68657600,26853366,65.52,3.04,1.85,4.74,7.6,17.59,0.46,0.8,NA,Thailand,Asia
CAN,North_America,Canada,HIC,47672.078125,35544564,25103034,24,6,13,8,47,3,NA,NA,NA,Canada,North America
ESP,Europe_Central_Asia,Spain,HIC,40985.55859375,47076780,22408548,49,8,3,14,15,9,NA,2,NA,Spain,Europe
EGY,Middle_East_North_Africa,"Egypt, Arab Rep.",LMC,10301.107421875,87813256,21000000,56,4,2,15,10,13,NA,NA,NA,Egypt,Africa
KOR,East_Asia_Pacific,"Korea, Rep.",HIC,42105.28125,51606632,20452776,30,2.5,2.6,NA,41,24.3,NA,NA,NA,Republic of Korea,Asia
ZAF,Sub-Saharan_Africa,South Africa,UMC,12666.607421875,51729344,18457232,16.381654627302726,5.200216370472019,16.9104608968452,45.020645565922344,9.396918237794267,7.090104301663434,NA,NA,NA,South Africa,Africa
ARG,Latin_America,Argentina,HIC,23550.099609375,42981516,17910550,38.74,3.16,1.84,15.36,13.96,14.61,1.26,1.09,9.95,Argentina,South America
IRN,Middle_East_North_Africa,"Iran, Islamic Rep.",UMC,14535.8623046875,80277424,17885000,72.9,1.9,2.3,5,7.3,8.5,1.1,1.3,NA,Iran,Asia
SAU,Middle_East_North_Africa,Saudi Arabia,HIC,48921.23046875,31557144,16125700.584,45.5,4,5,2.5,27,11,NA,5,NA,Saudi Arabia,Asia
UKR,Europe_Central_Asia,Ukraine,LMC,11534.6376953125,45004644,15242025,37,5,4,22,25,7,NA,NA,NA,Ukraine,Europe
BGD,South_Asia,Bangladesh,LMC,3195.737060546875,155727056,14778497.33,80.57999999999998,0.44,0.5,8.59,3.04,4.67,1.08,NA,1.1,Bangladesh,Asia
PHL,East_Asia_Pacific,Philippines,LMC,7705.04541015625,103320224,14631922.9,52.31,2.34,4.22,21.52,8.7,10.55,0.37,NA,NA,Philippines,Asia
COD,Sub-Saharan_Africa,"Congo, Dem. Rep.",LIC,1055.572998046875,78736152,14385226.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,Democratic Republic of the Congo,Africa
AUS,East_Asia_Pacific,Australia,HIC,47784.1796875,23789338,13345000,48.44,3.81,19.38,3.46,17.3,7.61,NA,NA,NA,Australia,Oceania
IRQ,Middle_East_North_Africa,Iraq,UMC,10310.6796875,36115648,13140000,68.7,2.3,0.98,6,9.6,5.29,5.09,0.85,0.93,Iraq,Asia
